(271.5855631052684, 529.2454764950131)
(273.4530783460742, 527.2269788682729)
(273.698902784958, 754.5525203117202)
(273.8331661324661, 438.46665053938756)
(274.858213751677, 484.27253014116405)
(275.2680953285357, 442.92316532289743)
(275.77909205170687, 484.12601513976995)
(275.82615471110404, 516.1859432873671)
(278.43778118699186, 768.0332996960415)
(279.1201727076005, 435.2268770729577)
(280.09679615483026, 436.4079469095369)
(280.1501586412243, 763.2827258031655)
(281.2068938327121, 487.41633292084043)
(282.51302385802796, 433.14780473277966)
(283.20291495808584, 767.4138888751775)
(283.69284191117794, 753.4544145208766)
(287.19526282137787, 772.8165605435189)
(287.9131639792665, 482.1954412894312)
(288.4899639487344, 425.0833021811885)
(289.4721119732452, 447.7458916956702)
(291.18518498262756, 492.35748274302665)
(291.34482571674647, 507.8887433257584)
(291.62833087875583, 493.733777993522)
(294.4435017448905, 425.837042933944)
(294.5182044533341, 765.9430355704744)
(294.9361675320983, 504.0070534885324)
(295.0743832057581, 721.8791021964353)
(295.47499492174904, 505.6805104328306)
(297.06597108377423, 373.3081243761849)
(297.90125146864455, 615.3098999009462)
(298.6350116538947, 594.8762787117242)
(299.83709217784383, 498.7099054117104)
(300.5583822300579, 706.6650835062201)
(301.1492982691576, 497.29161182928794)
(301.53855415588004, 426.7353038215379)
(303.8262887174311, 365.09676468523827)
(303.90278360050866, 501.1745158230844)
(304.2288223703823, 364.6078307636076)
(305.5955580836764, 402.0032469264572)
(306.1873360440077, 418.64065264849)
(306.34916674464887, 499.8665346098568)
(306.72210078761276, 602.8949722877869)
(309.36983210913587, 802.8244459660729)
(309.75067930006975, 550.0170523688159)
(311.022641355476, 750.4514933850417)
(312.49351168351455, 407.66007897000736)
(313.12136967250717, 370.00977453449264)
(314.0405432959213, 669.2621136056691)
(314.46511562385007, 477.9709316749735)
(315.6098407363625, 388.49128147602266)
(316.61704643008966, 480.57334775751224)
(317.3854137602781, 587.8868643511254)
(317.4600136885923, 411.73297787836464)
(319.4154936322377, 580.0334378944314)
(319.81185832826793, 477.1202459602964)
(320.5225119467881, 583.4715472436055)
(320.9779882921292, 392.88655760777334)
(321.4388162141488, 582.1818923884375)
(321.4556528662764, 586.3696388805927)
(323.7617088625326, 340.8823839013251)
(324.2823548918785, 376.789723241464)
(324.36228362343, 585.2861609562397)
(324.5318267370234, 490.1450084729976)
(324.5356060953884, 704.373453240175)
(324.75135171256795, 376.1569201683633)
(326.09848720646767, 622.1074853113385)
(328.68610618654725, 379.46486412815665)
(329.2272060711688, 378.5226786436163)
(329.6744729745572, 333.7004975577257)
(330.64286748097555, 623.2030116012376)
(332.05448218290644, 619.2868306603956)
(332.63715192679877, 402.4327265808278)
(333.54033890889696, 623.9015130319664)
(333.636526629087, 565.0141927291661)
(338.7885980635191, 600.6046674405004)
(340.6316606632072, 320.39144697927725)
(342.00042818899703, 431.8579324897075)
(346.9596325752466, 716.7199932557431)
(347.40659072062414, 576.6961472572616)
(348.1646878169522, 432.63835143575926)
(348.29902828118685, 574.2202967572729)
(349.4925041922986, 392.1040987909699)
(350.26516350662155, 675.844443927462)
(350.4408680274275, 575.5650877065445)
(350.66979385295406, 341.1859585053181)
(350.7523627318466, 521.854552463846)
(351.52000328156873, 339.7055387062631)
(351.77500750891886, 339.6947275052885)
(352.0070825517273, 390.5632147136829)
(352.2029947356249, 290.2386891807834)
(353.19493650463846, 441.0382571229719)
(353.84379462653595, 686.9587362105315)
(354.01159743504616, 335.3670719804498)
(354.9355225593944, 335.430341163432)
(355.7972595184279, 438.2255449626797)
(356.05627141646164, 552.6997163338137)
(357.2801271118542, 300.1695352702933)
(358.03987612599553, 530.6676341873199)
(358.40866373283984, 701.1360257330766)
(359.08778926882064, 703.2452120255067)
(359.3283683038533, 297.6816573224312)
(359.60479034977095, 704.8508821635571)
(359.62423262856186, 434.0891738254508)
(360.1086385617708, 673.7155641416921)
(360.77521803643344, 526.8177700090142)
(361.212746404802, 470.5332179305855)
(361.22878844521233, 700.8664914791866)
(362.189155584284, 535.6855239642068)
(362.2807218640888, 320.96853073450023)
(362.6469547005719, 246.6603941810377)
(363.27705232820006, 583.6245069516867)
(364.1468222753028, 700.5875995323984)
(364.65695713504454, 428.64957030821813)
(364.66990798761225, 660.0985340008048)
(364.6873114211749, 528.7549994646365)
(365.2607467471008, 315.7795882339733)
(365.58842769743575, 321.0567019159556)
(366.4944336591935, 569.5809481916227)
(366.9910904170678, 319.1641319872252)
(367.3300708744109, 678.9452868500996)
(367.99141224050334, 321.12075658008115)
(368.7141531299251, 632.3809614644235)
(369.5327957334607, 308.3409199610929)
(370.8793645073918, 550.4411485563469)
(371.6411193608316, 547.1161621949249)
(372.1257339640098, 743.7376582311093)
(372.5795485719678, 636.4854113839829)
(372.6214571617718, 311.56725025677883)
(373.4363073421282, 435.83783553688573)
(373.5628663293725, 633.5498541321374)
(373.99765882060274, 549.9660197142575)
